invoiceId,invoiceAmount,invoicePaidAmount,invoiceBalance,invoiceDiscountRate,invoiceDiscountAmount,invoiceProfit
72,105.6,105.6,0,5,5.56,17.762
73,470.57,470.57,0,1.5,7.17,69.6239
74,230,230,0,2.5,5.9,30.0825
75,213.75,213.75,0,5,11.25,22.5
76,1002.24,1000,2.24,4,41.76,94.44
77,590.94,590.94,0,2,12.06,66.98
78,25,25,0,0,0,10
79,3851.68,3851.68,0,5,202.72,247.68
80,369,369,0,5,19.42,30.979
81,115.34,115.34,0,1.5,1.76,12.6435
82,18,18,0,0,0,2.34
83,484.5,484.5,0,5,25.5,43.5
84,380,380,0,0,0,49.6
85,100.43,100,0.43,2,2.05,14.6104
86,129.6,129.6,0,4,5.4,12.6
87,155,155,0,0,0,23.03
88,377.57,377.57,0,4,15.73,32.318
89,100.75,100,0.75,5,5.3,8.5475
90,825.26,825.26,0,2,16.84,95.058
91,570,570,0,5,30,48
92,814.23,814.23,0,2,16.62,84.853
93,1694.74,0,0,5,89.197,178.253
94,1404.56,1400,4.56,3,43.44,114.08
95,149.76,149.76,0,4,6.24,7.94
96,1029.7901,1029.7901,0,3.5,37.3499,86.6701
97,952.61,952.61,0,3.5,34.55,48.2294
98,433.49,430,3.49,5,22.82,39.385
99,60,60,0,0,0,13.86
100,300,300,0,0,0,41.36
101,90,90,0,0,0,11.2
102,67.6,0,0,0,0,10.5
103,1333.63,1333.63,0,4,55.57,127.562
104,129,129,0,0,0,19.35
105,208.15,208.15,0,2,4.25,28.082
106,29,29,0,0,0,9.9
107,170.24,170.24,0,3,5.27,18.465
108,50,50,0,0,0,7.5
109,67.25,67.25,0,0,0,8.78
110,703.95,703.95,0,5,37.05,58.88
111,24,24,0,0,0,6.6
112,68.2,68.2,0,0,0,8.6
113,1113.4,0,0,5,58.6,134.8
114,872.64,872.64,0,4,36.36,92.48
115,178.125,178.125,0,5,9.375,15.125
116,130,130,0,0,0,19.5
117,102.6,100,2.6,5,5.4,9.5
118,427.77,427.77,0,3,13.23,92.89
119,129.07,129.07,0,2,2.63,14.166
120,542.38,540,2.38,3,16.77,58.69
121,199.13,199.13,0,3,6.16,20.5313
122,139.89,139.89,1.3,1,1.41,17.287
123,902.1,100,783.5,3,27.9,93.1
124,299.73,299.73,0,3,9.27,32.09
125,120.71,120,0.71,4,5.03,21.6104
126,480,0,480,4,20,45
127,125,125,0,0,0,13.26
128,40,40,0,0,0,6
129,306.21,306.21,0,5,16.12,26.7135
130,1039.31,1039.31,0,3.5,37.7,89.305
131,80,80,0,0,0,10.4
132,20,20,0,0,0,4.4
133,232.1,232.1,0,0,0,29.1
134,9.72,9.72,0,0,0,1.26
135,303.05,303.05,0,5,15.95,25.75
136,37.35,37.35,0,0,0,5.22
137,401.87,401.87,0,3,12.43,40.571
138,291,291,0,3,9,28.6
139,31.8,30,1.8,0,0,4.2
140,10,10,0,0,0,3.29
141,239.3,239.3,0,3,7.4,24.999
142,209,0,209,5,11,16
143,120.8,120,0.8,0,0,49.14
144,199.78,199.78,0,1,2.02,28.782
145,87.22,87.22,0,2,1.78,10.22
146,100.05,100,0.05,3,3.09,9.7958
147,50,50,0,0,0,6.53
148,326.02,326.02,0,3,10.08,32.517
149,590,590,0,0,0,65.2
150,425.32,425.32,0,2,8.68,46.42
151,324.95,324.95,0,3,10.05,11.3
152,200,200,0,0,0,26
153,274.08,274.08,0,5,14.43,25.875
154,236.44,0,0,0,0,29.92
155,606.58,606.58,0,5,31.93,54.975
156,534.28,534.28,0,5,28.12,46.08
157,280.18,280.18,0,2,5.72,53.742
158,670.28,670,0.28,0.7,4.73,109.275
159,81.18,81.18,0,5,4.27,7.1775
160,454.1,454.1,0,5,23.9,35.1
161,54.9,54.9,0,0,0,7.3
162,448.4,448.4,0,5,23.6,37.4
163,426.93,426.93,0,5,22.47,38.31
164,14,14,0,0,0,2.8
165,52.63,50,2.63,5,2.77,4.43
166,28,28,0,0,0,3.88
167,120.64,120,0.64,2,2.46,19.338
168,281.36,281.36,0,1,2.84,37.658
169,105.16,105,0.16,0,0,16.4
170,110,110,0,0,0,20
171,1687.77,1687.77,0,5,88.83,147.97
172,339.96,339.96,0,2,6.94,37.792
173,19.44,19.44,0,0,0,2.52
174,404.79,404.79,0,5,21.3,34.9755
175,281.72,281.72,0,5,14.83,23.4525
176,69.5,69.5,0,0,0,9.08
177,1447.5,1447.5,0,3.5,52.5,128.24
178,299,299,0,0,0,39
179,194.75,194.75,0,5,10.25,17.57
180,534.59,534.59,0,2,10.91,111.59
181,80.496,80.496,0,4,3.354,7.386
182,1235,1235,0,5,65,82
183,835,835,0,0,0,148.5
184,4629.68,4629.68,0,5,243.67,413.7825
185,90.24,90,0.24,4,3.76,9.24
186,240.3,240.3,0,2,4.9,28.896
187,120,120,5,4,5,10
188,160.05,160,0.05,3,4.95,16.05
189,480.2,480.2,0,2,9.8,63.2
190,1853.74,1850,3.74,5,97.57,207.915
191,55,50,2.25,0,0,24.9
192,784,784,0,0,0,88.21
193,1358.5,1358.5,0,5,71.5,137.32
194,12,12,0,0,0,1.6
195,336.48,336.48,0,5,17.71,33.8005
196,260.67,260,0.67,1,2.63,31.727
197,485.36,485.36,0,5,25.55,47.595
198,442.51,442.51,0,5,23.29,43.01
199,81.35,80,1.35,0,0,10.15
200,100.51,100,0.51,1,1.02,10.3747
201,95.24,95.24,0,1,0.96,11.668
202,581.42,581.42,0,3,17.98,61.418
203,1207.82,1207.82,0,5,63.57,101.4805
204,200.3,200,0.3,0,0,29
205,37.5,37.5,0,0,0,5
206,130,130,0,0,0,17.93
207,546.45,546.45,0,3,16.9,33.6195
208,210.7,210,0.7,2,4.3,38.22
209,430.83,430.83,0,5,22.68,36.525
210,764.28,764.28,0,3.5,27.72,72.18
211,712.12,712.12,0,5,37.48,72.17
212,1569.75,1569.75,0,2.5,40.25,75.56
213,553.51,553.51,0,5,29.13,47.198
214,290.47,290.47,0,0,0,37.91
215,62,62,0,0,0,8.5
216,1066.28,1000,66.28,5,56.12,87.88
217,1952.707,1952.707,0,3,60.393,251.057
218,149.74,149.74,0,2,3.06,16.344
219,219.58,219.58,0,5,11.56,18.463
220,651.84,651.84,0,3,20.16,62.31
221,411.35,411.35,0,5,21.65,50.26
222,1539.58,1539.58,0,2,31.42,132.09
223,369.98,369.98,0,3.5,13.42,38.981
224,18,18,0,0,0,2.34
225,902.5,900,2.5,5,47.5,110.83
226,80.04,80.04,0,5,4.21,7.3875
227,448.73,448.73,0,3.5,16.28,10.045
228,231.26,231.26,0,1,2.34,27.364
229,1669.5,1669.5,0,4.6,80.5,147.14
230,46.8,46.8,0,0,0,6.2
231,499.32,499.32,0,1,5.04,62.0764
232,480.7,480.7,0.94,5,25.3,40.7
233,1877.43,1877.43,0,5,98.81,147.308
234,500.1,500,0.1,0,0,65.26
235,341.43,340,1.43,2,6.97,41.832
236,38,38,0,0,0,4.84
237,210,210,0,0,0,28.53
238,250,250,0,0,0,38.75
239,350.4,350.4,0,4,14.6,23.9
240,230,230,0,0,0,31
241,358.97,358.97,0,2,7.33,39.474
242,400.1,400,0.1,0,0,59.92
243,110,110,0,0,0,20
244,97.5,97.5,0,0,0,13.6
245,76.95,76.95,0,0,0,9.75
246,125,125,0,0,0,16.2
247,166.63,166.63,0,5,8.77,13.33
248,137.94,137.94,0,5,7.26,11.94
249,170,170,0,0,0,18
250,239.3,239.3,0,0,0,27.07
251,70,70,0,0,0,10.2
252,200,200,0,0,0,50
253,1680.35,1680,0.35,3,51.97,132.6004
254,3194.85,0,3194.85,5,168.15,252.75
255,130.95,130.95,0,3,4.05,11.95
256,180,180,0,0,0,23.48
257,479.27,0,479.27,2,9.78,47.129
258,741,741,0,5,39,111
259,470,470,0,0,0,32.9
260,951.38,951.38,0,3,29.42,98.476
261,421.06,421.06,0,4,17.54,63.256
262,100.06,100,0.06,2,2.04,10.558
263,238.65,238.65,0,7.5,19.35,19.35
264,92.44,92.44,0,5,4.87,7.135
265,1398.72,0,1398.72,3,43.26,144.2806
266,1552.91,1552.91,0,5,81.73,133.268
267,110,110,0,0,0,11.75
268,130.95,130,0.95,3,4.05,13.95
269,70.3,70,0.3,5,3.7,6.3
270,183.73,183.73,0,5,9.67,21.63
271,299.88,299.88,0,2,6.12,34.68
272,173.15,173.15,0,3,5.36,17.865
273,99.43,99.43,0,3,3.08,13.135
274,620.88,620,0.88,0,0,79.24
275,130,130,0,0,0,17.93
276,70,70,0,0,0,9.17
277,413.53,413.53,0,5,21.76,33.4755
278,101.39,100,1.39,0,0,14.31
279,984,0,984,0,0,284.35
280,239,239,0,2,4.88,29.3224
281,301.86,300,1.86,3,9.34,33.064
282,1220.85,1220.85,0,5,64.26,99.745
283,526.68,526.68,0,5,27.72,44.52
284,130.02,130,0.02,4,5.42,17.6024
285,148.2,148.2,0,5,7.8,13.56
286,420.74,420.74,0,3.5,15.26,44.74
287,80,80,0,0,0,10.4
288,685.46,685.46,0,0,0,90.62
289,120,120,0,0,0,19.89
290,117.1,117.1,0,0,0,14.4
291,40,40,0,0,0,3.6
292,300.84,300.84,0,3,9.3,34.1358
293,726,726,0,0,0,68.6
294,150,150,0,0,0,21.25
295,441.75,441.75,0,5,23.25,102.25
296,169.34,169.34,0,4,7.06,16.144
297,30,30,0,0,0,3
298,50,50,0,0,0,6.51
299,614.65,614.65,0,5,32.35,52.05
300,70,70,0,0,0,7.5
301,85.36,85,0.36,3,2.64,8.86
302,31.5,31.5,0,0,0,4.11
303,30,30,0,0,0,3
304,349.68,349.68,0,1.5,5.33,39.975
305,20.52,20,0.52,0,0,4.31
306,280.25,280.25,0,5,14.75,23.73
307,600,600,0,0,0,120
308,294.12,294.12,0,5,15.48,28.12
309,1966.92,1966.92,0,3.5,71.34,206.1409
310,200.9,200,0.9,2,4.1,25.9
311,140,140,0,0,0,12.73
312,555.66,555.66,0,3,17.19,59.05
313,776.4384,776.4384,0,4,32.3516,79.0284
314,260.45,260,0.45,3,8.06,28.845
315,416.5,416.5,0,2,8.5,39
317,110.78,110,0.78,4,4.62,11.184
318,139.68,139.68,0,3,4.32,14.76
319,693.55,693.55,0,5,36.5,55.1975
320,1200,1200,0,4,50,50
321,952.54,952.54,0,3,29.46,75.59
322,169.71,169.71,0,1,1.71,20.4058
323,545.14,545.14,0,3,16.86,141.14
324,69,69,0,0,0,9
325,270,270,0,0,0,27
326,942.31,942.31,0,5,49.6,79.805
327,400.76,400.76,0,3,12.39,41.5055
328,150,150,0,0,0,20
329,1676.2005,0,1676.2,2.5,42.9795,179.8805
330,270.9112,270.9112,0,2,5.5288,29.6112
331,537.67,537.67,0,3,16.63,53.471
332,36,36,0,0,0,4.68
333,531.26,530,1.26,5,27.96,44.339
334,110,110,0,0,0,20
335,145,145,0,0,0,19.25
336,70.41,70,0.41,1,0.71,8.7888
337,210.57,210,0.57,3,6.51,22.9476
338,51.34,51.34,0,5,2.7,3.948
339,999.21,999.21,0,2,20.39,115.488
340,380.24,380,0.24,3,11.76,32.88
341,346.78,346.78,0,3,10.73,40.675
342,1570.27,1570.27,0,5,82.65,128.844
343,101.44,100,1.44,0,0,16.26
344,72,2,70,0,0,9.4
345,184.3,184.3,0,3,5.7,22.3
346,159.22,0,159.22,5,8.38,12.22
347,165.42,165.42,0,2,3.38,19.184
348,70,70,0,0,0,7
349,256.5,256.5,0,5,13.5,23.5
350,44.77,44.77,0,0,0,4.12
351,129.79,129.79,0,4,5.41,12.192
352,180,180,0,0,0,45
353,235.62,235.62,0,6.5,16.38,18.34
354,60,60,0,0,0,6.33
355,155.37,155.37,0,5,8.18,14.2425
356,54.9,54.9,0,0,0,6.9
357,978.73,978.73,0,3,30.27,101.48
358,190,190,0,5,10,14.56
359,28.7,28.7,0,0,0,3.7
360,530,530,0,0,0,119.88
361,771.59,771.59,0,3,23.86,75.5865
362,130.95,130.95,0,3,4.05,14.55
363,199.39,199.39,0,1,2.01,21.136
364,500,500,0,0,0,65
365,31.56,31.56,0,2,0.64,4.056
366,508.99,508.99,0,5,26.79,45.591
367,180,180,0,0,0,45
368,100.94,100,0.94,2,2.06,11.34
369,242.06,180,0,2,4.94,26.86
370,20.52,20,0.52,0,0,2.6
371,8.61,8.61,0,0,0,1.11
372,189.15,189.15,0,3,5.85,19.56
373,838.59,838.59,0,3.5,30.42,86.625
374,54,4,50,0,0,7.02
375,268.91,268.91,0,2,5.49,31.112
376,49.6,49.6,0,0,0,6
377,705.85,705.85,0,5,37.15,59.25
378,348.04,348.04,0,3,10.76,34.386
379,130.95,130.95,0,3,4.05,15.35
380,149.29,149.29,0,2,3.05,17.4832
381,100.8,100,0.8,4,4.2,10.3
382,549.99,549.99,0,3,17.01,53.22
383,3658.32,3658.32,0,3.5,132.69,232.995
384,80,80,0,0,0,8
385,90,90,0,0,0,13.5
386,500.08,500,0.08,4.2,21.92,48.456
387,189.15,189.15,0,3,5.85,19.65
388,254.21,254.21,0,2,5.19,29.632
389,400.48,400.48,0,3.5,14.53,39.975
390,500,500,0,0,0,100
391,100,100,0,0,0,15
392,415.21,415.21,0,5,21.85,36.717
393,45,45,0,0,0,5.9
394,359.22,359.22,0,1,3.63,43.9215
395,423.42,423.42,0,5,22.29,35.545
396,190.4,190.4,0,0,0,24.8
397,1200,0,1200,4,50,50
398,593.75,593.75,0,5,31.25,49.75
399,100,100,0,0,0,13
400,353.27,350,3.27,3,10.93,32.214
401,120,120,0,0,0,16
402,982.49,982.49,0,5,51.71,90.17
403,12.35,12.35,0,5,0.65,1.05
404,425.44,425.44,0,3,13.16,44.292
405,300.7,300,0.7,3,9.3,33.4
406,508.28,508.28,0,3,15.72,239.68
407,100,0,100,0,0,9
408,150.08,150,0.08,1,1.52,18.084
409,135,135,0,0,0,19
410,350.63,350.63,0,3,10.84,38.8359
411,237.5,237.5,0,5,12.5,20
412,371.03,371.03,0,3,11.48,38.675
413,7,7,0,0,0,1.4
414,203.3,203.3,0,5,10.7,17.14
415,994.95,994.95,0,1,10.05,90.19
416,100,100,0,0,0,13.21
417,100.88,100,0.88,3,3.12,19.28
418,180.41,180,0.41,3,5.58,19.3103
419,700.59,700,0.59,3.5,25.41,68.99
420,20.9,20,0,5,1.1,1.6
421,277.13,277.13,0,6.5,19.27,19.334
422,468.51,468.51,0,3,14.49,50.21
423,160.13,160.13,0,4,6.67,16.128
424,1447.5,1447.5,0,3.5,52.5,143.94
425,29.93,29.93,0,5,1.58,2.535
426,221.83,221.83,0,5,11.68,19.1745
427,97.95,97.95,0,0,0,18.15
428,112.77,112.77,0,5,5.94,8.665
429,110.18,110,0.18,2,2.25,12.5114
430,15,15,0,0,0,1.5
431,205.2,205.2,0,5,10.8,17.28
432,641.04,641.04,0,2.5,16.44,69.303
433,25,25,0,0,0,3.26
434,230.05,230.05,0,4,9.59,20.2344
435,1009.4,1000,9.4,2,20.6,91.16
436,195,195,0,0,0,25.68
437,448.21,448.21,0,5,23.59,48.37
438,210.38,210.38,0,6.5,14.63,14.625
439,180.44,180.44,0,5,9.5,13.323
440,290,290,0,0,0,30
441,99,99,0,0,0,13.69
442,199.89,199.89,0,2,4.08,22.1506
443,70.71,70.71,0,2,1.44,7.957
444,60.8,60,0.8,5,3.2,4.6
445,121.6,120,1.6,5,6.4,11.28
446,390.45,390.45,0,5,20.55,33.45
447,104.5,104.5,0,5,5.5,9.9
448,104.5,104.5,0,5,5.5,8
449,100,100,0,0,0,24.6
450,85,0,0,0,0,10
451,599.6,0,0,0,0,80.5
452,269.5,269.5,0,2,5.5,19.5
453,150,150,0,0,0,20
454,10,10,0,0,0,3.2
455,601.54,601.54,0,5,31.66,50.42
456,368.6,368.6,0,5,19.4,30.2
457,200.64,200,0.64,5,10.56,19.89
458,60.35,60,0.35,2,1.23,5.1084
459,210.99,210,0.99,2,4.31,25.444
460,15,15,0,0,0,1.5
461,200,200,0,0,0,30
462,30.56,30,0.56,3,0.95,3.165
463,202.2,0,202.2,5,10.64,17.758
464,779.81,779.81,0,4,32.49,73.528
465,60,60,0,0,0,8.02
466,199.92,199.92,0,2,4.08,22.56
467,79,79,0,0,0,10.3
468,894.83,894.83,0,3,27.68,99.235
469,597.33,597.33,0,3,18.47,61.926
470,825.55,0,825.55,5,43.45,69.33
471,400,400,0,0,0,90
472,599.74,599.74,0,4.5,28.26,53.38
473,30.31,30.31,0,0,0,3.06
474,1199.9,1199.9,0,7.7,100.1,-9.1
475,551.28,551.28,0,3,17.05,57.1501
476,566.46,566.46,0,3.5,20.55,41.715
477,425.08,425.08,0,5,22.37,31.1775
478,270.2,270.2,0,3.5,9.8,24.6
479,30.03,30.03,0,0,0,3.9
480,1180.76,1180,0.76,5,62.145,105.995
481,196.404,196.404,0,2.5,5.036,24.294
482,120,120,0,0,0,16
483,240,240,0,0,0,36
484,423,423,0,0,0,53.1
485,199.43,199.43,0,2,4.07,24.36
486,351.5,351.5,0,5,18.5,26.5
487,249.6,249.6,10,4,10.4,39.6
488,275,0,275,0,0,29.46
489,45,45,0,0,0,4.5
490,140.4,140,0.4,0,0,17.2
491,321,0,321,0,0,41.9
492,240.51,240,0.51,0,0,31.58
493,320.96,320,0,3.5,11.64,33.319
494,440.61,440.61,0,2,8.99,69.618
495,190.43,190.43,0,5,10.02,17.2775
496,575.89,575.89,0,5,30.31,52.69
497,1979.85,1979.85,0,1.5,30.15,74.55
498,19.95,19.95,1,5,1.05,3.45
499,52.21,52.21,0,0,0,7.45
500,299.7,299.7,0,0,0,39.7
501,161.02,161.02,0,3,4.98,27.02
502,182,182,0,0,0,24
503,350,350,0,0,0,35
504,1466.8,1466.8,0,3.5,53.2,133.3
505,79.15,79.15,0,3,2.45,10.552
506,24,24,0,0,0,2.96
507,507.965,507.965,0,5,26.735,39.265
508,198.85,198.85,0.9,3,6.15,20.51
509,220,220,0,0,0,32
510,102.72,102.72,0,0,0,11.19
511,1200,1200,0,4,50,50
512,125.1,125.1,0,0,0,16.33
513,50,50,0,0,0,6.53
514,19.93,19.93,0,3,0.62,1.0335
515,362.75,362.75,0,2,7.4,39.697
516,373.87,373.87,0,2,7.63,42.37
517,1700,1700,0,0,0,165
518,649.8,649.8,0,3,20.1,66.903
519,482.22,482.22,0,5,25.38,40.77
520,190,190,0,0,0,28
521,100.88,100,0.88,3,3.12,19.28
522,419.38,419.38,0,3,12.97,44.5395
523,120.75,120.75,0,5,6.36,9.735
524,186.93,186.93,0,0,0,24.56
525,60,60,0,0,0,7.2
526,459.84,459.84,0,3.8,18.16,41.836
527,494.7448,494.7448,0,3.2,16.3552,49.5948
528,599.63,599.63,0,2.5,15.38,33.825
529,855,855,0,5,45,73.2
530,435.31,435.31,0,5,22.91,36.589
531,952.83,952.83,0,3,29.47,124.521
532,30,30,0,0,0,4
533,1048.8465,1048.8465,0,2.5,26.8935,108.1965
534,173,173,0,0,0,25.2
535,120,120,0,0,0,17.5
536,440,440,0,0,0,71.5
537,519.76,519.76,0,7.5,42.14,26.8575
538,632.21,632.21,0,5,33.27,49.246
539,60,60,0,0,0,8.5
540,207.1,207.1,0,3,6.41,27.895
541,390,390,0,0,0,70.2
542,79.8,79.8,0,5,4.2,7.44
543,75,75,0,0,0,8.98
544,460.75,460.75,0,3,14.25,100.75
545,1121.57,1120,0,5,59.03,94.87
546,656.54,656.54,0,3,20.31,63.6645
547,130,130,0,0,0,19.5
548,639.09,639.09,0,4.5,30.11,52.986
549,625.65,625.65,0,3,19.35,63.38
550,219.1,219.1,0,0,0,34.32
551,629.76,629.76,0,4,26.24,108.21
552,593.48,593.48,0,3.5,21.53,27.675
553,232.75,232.75,0,5,12.25,21.25
554,2.4,2.4,0,0,0,0.42
555,72.68,72.68,0,3,2.25,5.4621
556,310.79,310.79,0,3,9.61,30.588
557,463.6,463.6,0,5,24.4,41.6
558,838.64,838.64,0,3,25.94,85.6026
559,110.15,110.15,0,2,2.25,14.842
560,460.36,460.36,0,3,14.24,47.642
561,489.85,489.85,0,3,15.15,50.85
562,458.88,458.88,0,4,19.12,42.58
563,6.48,6.48,0,0,0,0.84
564,708.59,708.59,0,3,21.92,96.475
565,70,70,0,0,0,8.75
566,542.45,542.45,0,5,28.55,46.35
567,100,100,0,0,0,18
568,190.08,190.08,0,4,7.92,19.38
569,148.99,148.99,0,4,6.21,12.992
570,250.32,250,0.32,3,7.74,26.3182
571,185,185,0,0,0,46.6
572,664.45,664.45,0,3,20.55,29.15
573,218.74,218.74,0,4,9.11,19.446
574,481.66,481.66,0,4,20.07,46.1108
575,100.32,100,0.32,4,4.18,9.5
576,39.72,39.72,0,0,0,7.86
577,939.25,939.25,0,3,29.05,97.051
578,185.71,185.71,0,2,3.79,22.71
579,1786.39,1786.39,0,5,94.0205,156.3695
580,167.99,167.99,0,2,3.43,18.6916
581,120,120,0,0,0,17.4
582,1663.83,1663.83,0,5,87.57,164.83
583,137.09,137.09,0,5,7.22,11.585
584,19.52,19.52,0,5,1.03,0.6225
585,413.25,413.25,0,5,21.75,34.95
586,758.1,758.1,0,5,39.9,64.32
587,382.67,382.67,0,3,11.84,39.165
588,593.48,593.48,0,3.5,21.53,27.675
589,227.95,227.95,0,3,7.05,25.15
590,40,40,0,0,0,8.06
591,70,70,0,0,0,10.2
592,175.39,175.39,0,4,7.31,18.212
593,503.5,503.5,0,5,26.5,42.5
594,209,209,0,5,11,17.75
595,557.75,557.75,0,3,17.25,57.75
596,351.5,351.5,0,5,18.5,35.3
597,981.44,981.44,0,2.5,25.17,106.335
598,686,686,0,2,14,49.64
599,194,194,0,3,6,20
600,318.5,318.5,0,2,6.5,35.89
601,3347.92,0,3347.92,6,213.7,252.2228
602,390,390,0,0,0,88.5
603,130,130,0,0,0,15.46
604,31.8,31.8,0,0,0,4.2
605,1191.64,1191.64,0,5,62.72,92.242
606,90,90,0,0,0,18.75
607,136.8,0,136.8,5,7.2,11.61
608,236.44,3,233.44,0,0,30.02
609,351.5,0,370,5,18.5,30.09
610,409.86,0,431.43,5,21.57,34.6985
611,175.94,175,0.94,5,9.26,16.54
612,684,684,0,5,36,57
613,487.7,487.7,0,5,25.67,41.5415
614,117.88,117.88,0,0,0,15.33
615,175,175,0,0,0,20.59
616,270.88,270.88,0,1.5,4.13,20.875
617,138,138,0,0,0,18
618,1679.1,1679.1,0,3.5,60.9,111.5
619,599.63,599.63,0,2.5,15.38,33.825
620,598.3,598.3,0,3.5,21.7,64
621,65,65,0,0,0,15
622,300,300,0,0,0,70
623,2608.65,2608.65,0,6.5,181.35,97.65
624,99.75,99.75,0,5,5.25,8.75
625,70,70,0,0,0,10.2
626,398.34,398.34,0,5,20.97,40.835
627,320.28,320.28,0,5,16.86,27.243
628,153.62,153.62,0,5,8.09,13.615
629,16,16,0,0,0,2.32
630,400.95,400.95,0,1,4.05,43.23
631,343.0696,343.0696,0,3,10.6104,36.6096
632,237.9,237.9,0.3,1,2.4,27.597
633,1448.7,1448.7,0.2,3.6,54.1,80.7792
634,471.36,471.36,0,4,19.64,44.58
635,432.77,432.77,0,5,22.78,39.7825
636,198.55,198.55,0,2,4.05,23.548
637,384.598,384.598,0,5,20.242,35.068
638,298.1,298.1,0,2,6.08,32.2564
639,307.85,307.85,0,1,3.11,43.0504
640,25,25,0,0,0,3.26
641,137.75,137.75,0,5,7.25,11.65
642,168.34,168.34,0,5,8.86,14.84
643,229.05,229.05,0,5,12.06,21.155
644,159.6,159.6,0,5,8.4,12.23
645,15,15,0,0,0,1.5
646,49.77,49.77,0,4,2.07,4.1864
647,493.92,493.92,0,2,10.08,68.92
648,850.98,850.98,0,3,26.32,88.271
649,385.28,385.28,0,3,11.92,39.484
650,831.74,831.74,0,4,34.66,75.594
651,257.74,257.74,0,2,5.26,24.74
652,450.55,450.55,0,2.5,11.55,21.4475
653,27,27,0,0,0,7.3
654,114.17,114.17,0,2.5,2.93,11.4725
655,50.63,50,0.63,0,0,12.94
656,5.48,5.48,0,0,0,0.44
657,1234.64,1234.64,0,5,64.98,104.479
658,2576.7,2576.7,0,3,79.69,277.6883
659,140,140,0,0,0,14
660,138,138,0,0,0,16
661,778.23,778.23,0,3,24.07,88.981
662,310.28,310.28,0,1.5,4.73,12.225
663,297.6,297.6,0,0,0,38.82
664,441.35,441.35,0,3,13.65,45.45
665,803.61,803.61,0,5,42.3,73.8545
666,280,280,0,0,0,36.55
667,106.37,104,2.37,2.5,2.73,11.5025
668,25,25,0,0,0,8.5
669,1634.72,1634.72,0,3,50.56,175.2516
670,110.54,110,0.54,2,2.26,11.544
671,20,20,0,0,0,2
672,815.92,0,815.92,0,0,108.44
673,160.34,160,0.34,3,4.96,17.441
674,251.25,251.25,0,3,7.77,26.9794
675,529.06,529.06,0,4,22.04,54.456
676,373.45,373.45,0,3,11.55,35.76
